accuracy,aug_type,belly_pain_fnr,belly_pain_recall,best_val_macro_f1,burping_fnr,burping_recall,cell,discomfort_recall,ece,hungry_recall,macro_f1,recipe,seed,status,synth_ratio,tired_recall
0.7971,none,1.0,0.0,0.2338,1.0,0.0,none_weighted_ce_r0_s0,0.25,0.2876,0.931,0.22,weighted_ce,0,ok,0,0.0
0.8116,none,1.0,0.0,0.2338,1.0,0.0,none_weighted_ce_r0_s1,0.0,0.2752,0.9655,0.1821,weighted_ce,1,ok,0,0.0
0.7826,none,1.0,0.0,0.2248,1.0,0.0,none_weighted_ce_r0_s2,0.0,0.2927,0.931,0.1785,weighted_ce,2,ok,0,0.0
0.5652,none,1.0,0.0,0.3932,1.0,0.0,none_balanced_r0_s0,0.5,0.2333,0.6379,0.18,balanced,0,ok,0,0.0
0.5072,none,0.6667,0.3333,0.2113,1.0,0.0,none_balanced_r0_s1,0.5,0.2908,0.5517,0.2329,balanced,1,ok,0,0.0
0.4493,none,1.0,0.0,0.2986,1.0,0.0,none_balanced_r0_s2,0.5,0.0791,0.5,0.1609,balanced,2,ok,0,0.0
0.7681,none,1.0,0.0,0.2278,1.0,0.0,none_focal_r0_s0,0.0,0.3337,0.9138,0.1767,focal,0,ok,0,0.0
0.8116,none,1.0,0.0,0.2207,1.0,0.0,none_focal_r0_s1,0.25,0.3317,0.9483,0.2218,focal,1,ok,0,0.0
0.7826,none,1.0,0.0,0.4178,1.0,0.0,none_focal_r0_s2,0.5,0.3965,0.8966,0.2393,focal,2,ok,0,0.0
0.8406,classical,1.0,0.0,0.1824,1.0,0.0,classical_weighted_ce_r0_s0,0.0,0.4729,1.0,0.1827,weighted_ce,0,ok,0,0.0
0.8406,classical,1.0,0.0,0.1824,1.0,0.0,classical_weighted_ce_r0_s1,0.0,0.4388,1.0,0.1827,weighted_ce,1,ok,0,0.0
0.7391,classical,1.0,0.0,0.2263,1.0,0.0,classical_weighted_ce_r0_s2,0.0,0.3414,0.8793,0.1744,weighted_ce,2,ok,0,0.0
0.5362,classical,1.0,0.0,0.329,1.0,0.0,classical_balanced_r0_s0,0.25,0.2663,0.6207,0.1651,balanced,0,ok,0,0.0
0.5942,classical,1.0,0.0,0.2057,1.0,0.0,classical_balanced_r0_s1,0.5,0.2054,0.6552,0.2368,balanced,1,ok,0,0.3333
0.7826,classical,1.0,0.0,0.3077,1.0,0.0,classical_balanced_r0_s2,0.25,0.3839,0.9138,0.213,balanced,2,ok,0,0.0
0.7681,classical,1.0,0.0,0.1833,1.0,0.0,classical_focal_r0_s0,0.0,0.3015,0.9138,0.1752,focal,0,ok,0,0.0
0.7391,classical,1.0,0.0,0.216,1.0,0.0,classical_focal_r0_s1,0.25,0.3245,0.8621,0.2006,focal,1,ok,0,0.0
0.8261,classical,1.0,0.0,0.3821,1.0,0.0,classical_focal_r0_s2,0.0,0.4084,0.9828,0.1839,focal,2,ok,0,0.0
